CardID,Card Name,Card Type,Description,Target Customer,Annual Fees,Cashback / Rewards,Spending Limit,International Usage,Contactless Payment
ec4ebc91,Student Credit Card,Credit Card,Low-limit card for students with minimal fees,Everyday Users,No Annual Fee,5% on Travel,No Preset Limit,Yes,Not Enabled
f13135b5,Student Credit Card,Credit Card,Low-limit card for students with minimal fees,Business Owners,No Annual Fee,5% on Travel,"$5,000",Yes,Not Enabled
ba3d448b,Premium Debit Card,Debit Card,Comes with higher withdrawal limits and insurance benefits,Everyday Users,$50,1% Cashback,"$10,000",Yes,Enabled
18efa442,Contactless Debit Card,Debit Card,Tap-to-pay enabled debit card for convenience,Students,$50,1% Cashback,"$1,000",Yes,Not Enabled
7b33d756,Secured Credit Card,Credit Card,Backed by a deposit for those building credit history,Everyday Users,$25,5% on Travel,No Preset Limit,No,Enabled
27167aac,Student Credit Card,Credit Card,Low-limit card for students with minimal fees,Everyday Users,$100,Bonus Points on Dining,No Preset Limit,Yes,Not Enabled
c1ce9eea,Standard Debit Card,Debit Card,Basic debit card linked to a savings account,Frequent Travelers,$100,Bonus Points on Dining,"$5,000",Yes,Enabled
860dc046,Standard Debit Card,Debit Card,Basic debit card linked to a savings account,Frequent Travelers,$25,Airport Lounge Access,"$10,000",No,Not Enabled
10011221,Contactless Debit Card,Debit Card,Tap-to-pay enabled debit card for convenience,Everyday Users,No Annual Fee,5% on Travel,"$1,000",Yes,Not Enabled
8b94deda,Business Debit Card,Debit Card,For business account holders with expense tracking features,Frequent Travelers,No Annual Fee,1% Cashback,"$10,000",No,Enabled
161d94a4,Business Debit Card,Debit Card,For business account holders with expense tracking features,Everyday Users,$50,Airport Lounge Access,"$5,000",No,Enabled
70739519,Gold Credit Card,Credit Card,Mid-tier card with rewards and cashback options,High Spenders,$25,Bonus Points on Dining,"$10,000",No,Enabled
d88bcb8f,Standard Debit Card,Debit Card,Basic debit card linked to a savings account,Business Owners,$100,Airport Lounge Access,"$10,000",Yes,Enabled
89e37e94,Contactless Debit Card,Debit Card,Tap-to-pay enabled debit card for convenience,Business Owners,No Annual Fee,Bonus Points on Dining,"$5,000",Yes,Enabled
